FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
610,5711,610,533,22,Chhatisgarh,STATE,405,Janjgir-Champa,3853,1619707,364532,815717,803990,5285399416,405992.1933,2380709,38.25550079
611,13528,611,534,08,Rajasthan,STATE,122,Bhilwara,10455,2408523,498125,1220736,1187787,12902845677,777121.4675,1245257,77.36990356
612,9416,612,535,08,Rajasthan,STATE,120,Tonk,7194,1421326,266870,728136,693190,9029421949,710641.8587,1035113,70.80599976
613,7513,613,536,08,Rajasthan,STATE,121,Bundi,5776,1110906,220768,577160,533746,7166785904,509537.6199,1270508,67.75450134
614,14796,614,537,08,Rajasthan,STATE,110,Jaipur,11143,6626178,1177096,3468507,3157671,14271614699,863356.1037,659680,69.03520203
615,6810,615,538,08,Rajasthan,STATE,127,Kota,5217,1951014,396501,1021161,929853,6459591109,657062.4714,1284462,63.98860168
616,2342,616,549,33,Tamil Nadu,STATE,616,Ariyalur,1940,754894,197090,374703,380191,2056503320,250238.2277,3898251,23.99629974
617,3392,617,573,33,Tamil Nadu,STATE,624,Theni,2868,1245899,338112,625683,620216,2958349353,324399.5558,3966597,19.97940063
618,6246,618,574,33,Tamil Nadu,STATE,608,Salem,5237,3482056,915967,1781571,1700485,5488418543,650048.4761,3861906,26.41600037
619,3139,619,596,09,Uttar Pradesh,STATE,147,Firozabad,2407,2498156,414266,1332046,1166110,3043456982,371931.0551,752358,91.2365036
620,3203,620,597,09,Uttar Pradesh,STATE,179,Sultanpur,4436,3797117,623523,1914586,1882531,3070385890,410804.0706,1055554,88.54869843
621,4013,621,598,09,Uttar Pradesh,STATE,171,Chitrakoot,3216,991730,168232,527721,464009,3814588887,565137.4573,1384601,63.58039856
622,3578,622,599,09,Uttar Pradesh,STATE,185,Basti,2688,2464464,382212,1255272,1209192,3451639085,349819.0716,863238,75.40779877
623,4379,623,600,09,Uttar Pradesh,STATE,188,Gorakhpur,3321,4440895,692960,2277777,2163118,4226372629,525158.9628,858483,70.51570129
624,3315,624,601,09,Uttar Pradesh,STATE,157,Lucknow,2528,4589838,860703,2394476,2195362,3201368958,372497.7374,853403,92.30680084
625,5670,625,602,09,Uttar Pradesh,STATE,191,Azamgarh,4054,4613913,665232,2285004,2328909,5437156004,503746.6707,1087039,93.68039703
626,3491,626,603,09,Uttar Pradesh,STATE,177,Faizabad,2341,2470996,423375,1259628,1211368,3357455343,381786.844,937553,82.30740356
627,2065,627,575,33,Tamil Nadu,STATE,615,Perambalur,1756,565223,149243,282157,283066,1811316277,264816.4097,3892095,25.60659981
628,7223,628,576,33,Tamil Nadu,STATE,612,Dindigul,6036,2159775,560773,1080938,1078837,6314005727,590246.2252,3932333,24.9946003
629,3490,629,577,09,Uttar Pradesh,STATE,138,Meerut,2559,3443689,579110,1825743,1617946,3436343216,321461.1562,421101,107.2900009
630,4642,630,578,09,Uttar Pradesh,STATE,143,Aligarh,3650,3673889,611371,1951996,1721893,4518476247,469817.3843,591003,91.82689667
631,5014,631,579,09,Uttar Pradesh,STATE,142,Bulandshahr,4512,3499171,587529,1845260,1653911,4913136550,365165.1293,497641,99.48970032
632,5866,632,580,09,Uttar Pradesh,STATE,134,Bijnor,4561,3682713,633197,1921215,1761498,5790143453,419063.8006,365366,67.21829987
