FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
336,9593,336,361,27,Maharashtra,STATE,514,Jalna,7718,1959046,391701,1011473,947573,8766921814,721126.246,2782343,46.65530014
337,5151,337,362,27,Maharashtra,STATE,517,Thane,9558,11060148,2529165,5865078,5195070,4690678294,429320.4353,2968239,44.40319824
338,6611,338,363,27,Maharashtra,STATE,#N/A,Palghar,0,0,0,0,0,6062383294,483906.0425,2867398,31.93759918
339,1991,339,612,09,Uttar Pradesh,STATE,197,Varanasi,1535,3676841,560162,1921857,1754984,1901560436,296880.1199,1373854,102.4169998
340,86,340,273,07,NCT of Delhi,UNION TERRITORY,092,North East,62,2241624,406125,1188425,1053199,85367263.01,62364.82596,484902,128.0410004
341,4512,341,274,03,Punjab,STATE,048,Patiala,3325,1895686,372293,1002522,893164,4495758156,653694.7307,282252,61.02140045
342,3288,342,275,03,Punjab,STATE,050,Tarn Taran,2414,1119627,203421,589369,530258,3334102959,352815.3639,213560,78.08239746
343,2259,343,276,03,Punjab,STATE,036,Kapurthala,1633,815168,167989,426311,388857,2281437249,475619.174,208562,63.88700104
344,1550,344,277,03,Punjab,STATE,040,Fatehgarh Sahib,1180,600163,118100,320795,279368,1552113422,269370.2733,260892,68.07489777
345,4837,345,278,03,Punjab,STATE,053,Sangrur,3625,1655169,318870,878029,777140,4818089822,563162.8622,276348,63.46020126
346,66,346,364,34,Pondicherry,UNION TERRITORY,634,Yanam,30,55626,13812,27301,28325,64171136.75,68849.67602,3431496,28.27129936
347,5191,347,365,14,Manipur,STATE,273,Tamenglong,4391,140651,25039,72371,68280,4929137147,433022.3024,1413598,31.30890083
348,5062,348,619,09,Uttar Pradesh,STATE,176,Bara Banki,4402,3260699,579058,1707073,1553626,4871166835,522034.7298,795120,89.2338028
